,Location1,Location2,Strand,Length,PID,Gene,Synonym,Code,COG,Product
825,937372,937983,+,203,145693108,lolA,b0891,-,-,lipoprotein chaperone
826,937994,939337,+,447,1787119,rarA,b0892,-,-,DNA-dependent ATPase involved in processing recombination intermediates at replication forks
827,939428,940720,+,430,1787120,serS,b0893,-,-,"seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine"
828,940959,943403,+,814,87081797,dmsA,b0894,-,-,"dimethyl sulfoxide reductase, anaerobic, subunit A"
829,943414,944031,+,205,1787122,dmsB,b0895,-,-,"dimethyl sulfoxide reductase, anaerobic, subunit B"
830,944033,944896,+,287,1787123,dmsC,b0896,-,-,"dimethyl sulfoxide reductase, anaerobic, subunit C"
831,944931,945557,-,208,1787124,ycaC,b0897,-,-,putative isochorismatase family hydrolase
832,945871,947019,+,382,1787126,ycaD,b0898,-,-,putative MFS-type transporter
833,947229,948659,+,476,87081798,ycaM,b0899,-,-,putative transporter
834,948660,949568,-,302,1787128,ycaN,b0900,-,-,LysR family putative transcriptional regulator
835,949668,950258,+,196,1787129,ycaK,b0901,-,-,putative NAD(P)H-dependent oxidoreductase
836,950340,951080,-,246,1787130,pflA,b0902,-,-,[formate-C-acetyltransferase 1]-activating enzyme; pyruvate formate-lyase 1-activating enzyme
837,951272,953554,-,760,1787131,pflB,b0903,-,-,"formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1"
838,953609,954466,-,285,1787132,focA,b0904,-,-,formate channel
839,954872,956632,-,586,87081799,ycaO,b0905,-,-,ribosomal protein S12 methylthiotransferase accessory factor
840,956762,957454,+,230,1787135,ycaP,b0906,-,-,UPF0702 family putative inner membrane protein
841,957653,958741,+,362,1787136,serC,b0907,-,-,3-phosphoserine/phosphohydroxythreonine aminotransferase
842,958812,960095,+,427,1787137,aroA,b0908,-,-,5-enolpyruvylshikimate-3-phosphate synthetase
843,960264,961028,+,254,87081800,ycaL,b0909,-,-,putative peptidase-related chaperone
844,961201,961884,+,227,1787139,cmk,b0910,-,-,cytidylate kinase
845,961995,963668,+,557,1787140,rpsA,b0911,-,-,30S ribosomal subunit protein S1
846,963828,964112,+,94,1787141,ihfB,b0912,-,-,"integration host factor (IHF), DNA-binding protein, beta subunit"
847,964320,966584,+,754,87081801,ycaI,b0913,-,-,ComEC family inner membrane protein
848,966621,968369,+,582,1787143,msbA,b0914,-,-,fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component
849,968366,969352,+,328,1787144,lpxK,b0915,-,-,lipid A 4'kinase
850,969389,970621,+,410,1787145,ycaQ,b0916,-,-,DUF1006 family protein with C-terminal wHTH domain
851,970673,970855,+,60,1787146,ycaR,b0917,-,-,"peroxide and acid resistance protein, UPF0434 family"
852,970852,971598,+,248,1787147,kdsB,b0918,-,-,3-deoxy-manno-octulosonate cytidylyltransferase
853,971752,972645,+,297,1787149,ycbJ,b0919,-,-,protein kinase-like domain protein
854,972622,973401,-,259,1787150,ycbC,b0920,-,-,DUF218 superfamily protein
855,973537,974322,+,261,1787151,smtA,b0921,-,-,putative S-adenosyl-L-methionine-dependent methyltransferase
856,974319,975641,+,440,1787152,mukF,b0922,-,-,"chromosome condensin MukBEF, kleisin-like subunit, binds calcium"
857,975622,976326,+,234,226510932,mukE,b0923,-,-,"chromosome condensin MukBEF, MukE localization factor"
858,976326,980786,+,1486,1787154,mukB,b0924,-,-,"chromosome condensin MukBEF, ATPase and DNA-binding subunit"
859,981047,982894,+,615,1787155,ldtD,b0925,-,-,"murein L,D-transpeptidase"
860,983075,983623,+,182,1787157,ycbK,b0926,-,-,M15A protease-related family periplasmic protein
861,983650,984297,+,215,1787158,ycbL,b0927,-,-,putative metal-binding enzyme
862,984519,985709,-,396,1787159,aspC,b0928,-,-,"aspartate aminotransferase, PLP-dependent"
863,985894,986982,-,362,1787160,ompF,b0929,-,-,outer membrane porin 1a (Ia;b;F)
864,987585,988985,-,466,1787161,asnS,b0930,-,-,asparaginyl tRNA synthetase
865,989154,990356,-,400,1787162,pncB,b0931,-,-,nicotinate phosphoribosyltransferase
866,990622,993234,+,870,1787163,pepN,b0932,-,-,aminopeptidase N
867,993277,994044,-,255,1787164,ssuB,b0933,-,-,alkanesulfonate transporter subunit
868,994041,994832,-,263,87081802,ssuC,b0934,-,-,putative alkanesulfonate transporter subunit
869,994843,995988,-,381,1787166,ssuD,b0935,-,-,"alkanesulfonate monooxygenase, FMNH(2)-dependent"
870,995985,996944,-,319,87081803,ssuA,b0936,-,-,"aliphatic sulfonate binding protein, SsuABC ABC transporter"
871,996937,997512,-,191,1787168,ssuE,b0937,-,-,NAD(P)H-dependent FMN reductase
872,997868,998407,+,179,87081804,elfA,b0938,-,-,laminin-binding fimbrin subunit
873,998490,999191,+,233,1787171,elfD,b0939,-,-,putative periplasmic pilin chaperone
874,999216,1001816,+,866,1787172,elfC,b0940,-,-,putative outer membrane fimbrial subunit export usher protein
875,1001807,1002877,+,356,1787173,elfG,b0941,-,-,putative fimbrial-like adhesin protein
876,1002889,1003431,+,180,1787174,ycbU,b0942,-,-,putative fimbriae protein
877,1003439,1003954,+,171,87081805,ycbV,b0943,-,-,putative fimbrial-like adhesin protein
878,1003947,1004657,+,236,87081806,ycbF,b0944,-,-,putative periplasmic pilin chaperone
879,1004768,1005778,+,336,1787177,pyrD,b0945,-,-,"dihydro-orotate oxidase, FMN-linked"
880,1005952,1006494,+,180,87081807,zapC,b0946,-,-,FtsZ stabilizer
881,1006491,1007600,-,369,1787179,ycbX,b0947,-,-,6-N-hydroxylaminopurine detoxification oxidoreductase
882,1007844,1009952,+,702,1787181,rlmL,b0948,-,-,"fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase, SAM-dependent"
883,1009964,1011871,+,635,1787182,uup,b0949,-,-,putative transporter subunit of ABC superfamily: ATP-binding component
884,1012001,1013254,+,417,1787183,pqiA,b0950,-,-,"paraquat-inducible, SoxRS-regulated inner membrane protein"
885,1013259,1014899,+,546,1787184,pqiB,b0951,-,-,"paraquat-inducible, SoxRS-regulated MCE domain protein"
886,1014896,1015459,+,187,145693109,pqiC,b0952,-,-,DUF330 family putative lipoprotein
887,1015715,1015882,+,55,1787186,rmf,b0953,-,-,ribosome modulation factor
888,1015952,1016470,-,172,1787187,fabA,b0954,-,-,beta-hydroxydecanoyl thioester dehydrase
889,1016539,1018299,-,586,1787188,ycbZ,b0955,-,-,putative peptidase
890,1018485,1018937,+,150,1787190,matP,b0956,-,-,Ter macrodomain organizer matS-binding protein
891,1019013,1020053,-,346,1787191,ompA,b0957,-,-,outer membrane protein A (3a;II*;G;d)
892,1020410,1020919,-,169,1787192,sulA,b0958,-,-,SOS cell division inhibitor
893,1021138,1021767,+,209,1787193,sxy,b0959,-,-,CRP-S-dependent promoter expression factor
894,1021730,1023883,-,717,87081808,yccS,b0960,-,-,"putative transporter, FUSC superfamily inner membrane protein, tandem domains"
895,1023902,1024348,-,148,1787195,yccF,b0961,-,-,DUF307 family inner membrane protein
896,1024471,1026525,+,684,1787196,helD,b0962,-,-,DNA helicase IV
897,1026557,1027015,-,152,87081809,mgsA,b0963,-,-,methylglyoxal synthase
898,1027111,1027773,-,220,1787198,yccT,b0964,-,-,UPF0319 family protein
899,1027946,1028359,+,137,87081810,yccU,b0965,-,-,putative CoA-binding protein
900,1028404,1028721,-,105,145693110,hspQ,b0966,-,-,heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein
901,1028779,1029969,-,396,145693111,rlmI,b0967,-,-,"23S rRNA m(5)C1962 methyltransferase, SAM-dependent"
902,1030064,1030342,+,92,1787203,yccX,b0968,-,-,weak acylphosphatase
903,1030339,1030668,-,109,87081811,tusE,b0969,-,-,mnm(5)-s(2)U34-tRNA 2-thiolation sulfurtransferase
904,1030759,1031418,-,219,1787205,yccA,b0970,-,-,"HflBKC-binding inner membrane protein, UPF0005 family"
905,1032139,1033257,+,372,1787206,hyaA,b0972,-,-,"hydrogenase 1, small subunit"
906,1033254,1035047,+,597,1787207,hyaB,b0973,-,-,"hydrogenase 1, large subunit"
907,1035066,1035773,+,235,1787208,hyaC,b0974,-,-,"hydrogenase 1, b-type cytochrome subunit"
908,1035770,1036357,+,195,1787209,hyaD,b0975,-,-,hydrogenase 1 maturation protease
909,1036354,1036752,+,132,1787210,hyaE,b0976,-,-,putative HyaA chaperone
910,1036749,1037606,+,285,1787211,hyaF,b0977,-,-,protein involved in nickel incorporation into hydrogenase-1 proteins
911,1037740,1039284,+,514,1787212,cbdA,b0978,-,-,"cytochrome bd-II oxidase, subunit I"
912,1039296,1040432,+,378,1787213,cbdB,b0979,-,-,"cytochrome bd-II oxidase, subunit II"
913,1040445,1040537,+,30,145693112,cbdX,b4592,-,-,putative cytochrome bd-II oxidase subunit
914,1040617,1041915,+,432,1787215,appA,b0980,-,-,phosphoanhydride phosphorylase
915,1042030,1044210,-,726,1787216,etk,b0981,-,-,"tyrosine-protein kinase, role in O-antigen capsule formation"
916,1044230,1044676,-,148,87081812,etp,b0982,-,-,"Protein-tyrosine-phosphatase, role in O-antigen capsule formation; dephosphorylates Etk-P"
917,1044664,1045803,-,379,1787218,gfcE,b0983,-,-,putative O-antigen capsule outer membrane auxillary protein export channel
918,1045849,1047945,-,698,1787219,gfcD,b0984,-,-,putative O-antigen capsule production periplasmic protein
919,1047945,1048691,-,248,1787220,gfcC,b0985,-,-,putative O-antigen capsule production periplasmic protein
920,1048688,1049332,-,214,1787221,gfcB,b0986,-,-,O-antigen capsule production lipoprotein
921,1049439,1049744,-,101,87081813,gfcA,b0987,-,-,O-antigen capsule production threonine-rich inner membrane protein
922,1049833,1050108,+,91,87081814,insA,b4516,-,-,IS1 repressor TnpA
923,1050027,1050530,+,167,1787223,insB1,b0988,-,-,IS1 transposase B
924,1050963,1051175,-,70,2367112,cspH,b0989,-,-,"stress protein, member of the CspA-family"
925,1051461,1051673,+,70,2367114,cspG,b0990,-,-,"cold shock protein homolog, cold-inducible"
926,1051847,1052077,+,76,1787225,ymcE,b0991,-,-,cold shock gene
927,1052067,1052240,+,57,87081815,gnsA,b4517,-,-,putative phosphatidylethanolamine synthesis regulator
928,1052289,1053362,-,357,1787226,yccM,b0992,-,-,putative 4Fe-4S membrane protein
929,1053434,1056178,-,914,87081816,torS,b0993,-,-,hybrid sensory histidine kinase in two-component regulatory system with TorR
930,1056261,1057289,+,342,1787228,torT,b0994,-,-,periplasmic sensory protein associated with the TorRS two-component regulatory system
931,1057262,1057954,-,230,1787229,torR,b0995,-,-,response regulator in two-component regulatory system with TorS
932,1058084,1059256,+,390,1787230,torC,b0996,-,-,"trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit"
933,1059256,1061802,+,848,1787231,torA,b0997,-,-,"trimethylamine N-oxide (TMAO) reductase I, catalytic subunit"
934,1061799,1062398,+,199,1787232,torD,b0998,-,-,TorA-maturation chaperone
935,1062550,1062855,-,101,1787234,cbpM,b0999,-,-,modulator of CbpA co-chaperone
936,1062855,1063775,-,306,1787235,cbpA,b1000,-,-,DnaK co-chaperone; curved DNA-binding protein
937,1064036,1065292,+,418,1787236,yccE,b1001,-,-,uncharacterized protein
938,1065585,1066826,+,413,1787237,agp,b1002,-,-,glucose-1-phosphatase/inositol phosphatase
939,1066864,1067091,-,75,1787238,yccJ,b1003,-,-,uncharacterized protein
940,1067112,1067708,-,198,1787239,wrbA,b1004,-,-,NAD(P)H:quinone oxidoreductase
941,1068081,1068254,+,57,87081817,ymdF,b4518,-,-,KGG family protein
942,1068511,1069839,-,442,87081818,rutG,b1006,-,-,pyrimidine permease
943,1069860,1070354,-,164,87081819,rutF,b1007,-,-,flavin:NADH reductase
944,1070365,1070955,-,196,1787243,rutE,b1008,-,-,putative malonic semialdehyde reductase
945,1070965,1071765,-,266,1787244,rutD,b1009,-,-,"putative aminoacrylate hydrolase, reactive intermediate detoxification"
946,1071773,1072159,-,128,1787245,rutC,b1010,-,-,"putative aminoacrylate deaminase, reactive intermediate detoxification; weak enamine/imine deaminase activity"
947,1072171,1072863,-,230,87081820,rutB,b1011,-,-,ureidoacrylate amidohydrolase
948,1072863,1074011,-,382,1787247,rutA,b1012,-,-,"pyrimidine oxygenase, FMN-dependent"
949,1074242,1074880,+,212,1787249,rutR,b1013,-,-,rut operon transcriptional repressor for
950,1074920,1078882,-,1320,1787250,putA,b1014,-,-,fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
951,1079305,1080813,+,502,1787251,putP,b1015,-,-,proline:sodium symporter
952,1082243,1083370,+,375,1787254,efeO,b1018,-,-,inactive ferrous ion transporter EfeUOB
953,1083376,1084647,+,423,1787255,efeB,b1019,-,-,"deferrrochelatase, periplasmic"
954,1084992,1086056,+,354,1787257,phoH,b1020,-,-,ATP-binding protein; putative PhoH family P-loop ATPase
955,1086106,1086519,-,137,1787258,pgaD,b1021,-,-,"biofilm PGA synthase PgaCD, regulatory subunit; c-di-GMP-stimulated activity and dimerization"
956,1086521,1087846,-,441,1787259,pgaC,b1022,-,-,"biofilm PGA synthase PgaCD, catalytic subunit; poly-beta-1,6-N-acetyl-D-glucosamine synthase; c-di-GMP-stimulated activity and dimerization"
957,1087839,1089857,-,672,1787260,pgaB,b1023,-,-,"poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein"
958,1089866,1092289,-,807,1787261,pgaA,b1024,-,-,"biofilm adhesin polysaccharide PGA secretin; OM porin; poly-beta-1,6-N-acetyl-D-glucosamine export protein"
959,1092876,1094234,+,452,1787262,ycdT,b1025,-,-,"diguanylate cyclase, membrane-anchored"
960,1094275,1095141,-,288,1787263,insF1,b1026,-,-,IS3 transposase B
961,1095138,1095437,-,99,226510933,insE1,b1027,-,-,IS3 transposase A
962,1095843,1096829,+,328,1787267,ycdU,b1029,-,-,putative inner membrane protein
963,1097886,1098824,+,312,87081824,ghrA,b1033,-,-,glyoxylate/hydroxypyruvate reductase A
964,1098879,1099616,+,245,1787271,ycdX,b1034,-,-,alkaline phosphatase
965,1099640,1100194,+,184,1787272,ycdY,b1035,-,-,redox enzyme maturation protein (REMP) chaperone for YcdX
966,1100296,1100787,+,163,87081825,ycdZ,b1036,-,-,DUF1097 family inner membrane protein
967,1100851,1101684,-,277,1787274,csgG,b1037,-,-,curli production assembly/transport outer membrane lipoprotein
968,1101711,1102127,-,138,1787275,csgF,b1038,-,-,curli nucleation outer membrane protein
969,1102152,1102541,-,129,1787276,csgE,b1039,-,-,curlin secretion specificity factor
970,1102546,1103196,-,216,1787277,csgD,b1040,-,-,csgBAC operon transcriptional regulator
971,1103951,1104406,+,151,1787278,csgB,b1041,-,-,"curlin nucleator protein, minor subunit in curli complex"
972,1104447,1104902,+,151,1787279,csgA,b1042,-,-,"curlin subunit, amyloid curli fibers, cryptic"
973,1104961,1105293,+,110,1787280,csgC,b1043,-,-,curli assembly protein
974,1105414,1105725,+,103,1787281,ymdA,b1044,-,-,uncharacterized protein
975,1105820,1106353,+,177,1787283,ymdB,b1045,-,-,O-acetyl-ADP-ribose deacetylase; RNase III inhibitor during cold shock; putative cardiolipin synthase C regulatory subunit
976,1106355,1107776,+,473,87081826,clsC,b1046,-,-,stationary phase cardiolipin synthase 3
977,1107784,1108941,-,385,1787285,opgC,b1047,-,-,osmoregulated periplasmic glucan succinylation membrane protein
978,1109335,1110870,+,511,1787286,opgG,b1048,-,-,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein
979,1110863,1113406,+,847,1787287,opgH,b1049,-,-,"membrane glycosyltransferase; nutrient-dependent cell size regulator, FtsZ assembly antagonist"
980,1113579,1113806,+,75,1787288,yceK,b1050,-,-,outer membrane integrity lipoprotein
981,1113807,1114181,-,124,87081827,msyB,b1051,-,-,multicopy suppressor of secY and secA
982,1114264,1115490,-,408,1787291,mdtG,b1053,-,-,putative drug efflux system protein
983,1115662,1116582,-,306,1787292,lpxL,b1054,-,-,lauryl-acyl carrier protein (ACP)-dependent acyltransferase
984,1116807,1117859,+,350,1787294,yceA,b1055,-,-,putative rhodanese-related sulfurtransferase
985,1117901,1118476,-,191,1787295,yceI,b1056,-,-,secreted protein
986,1118480,1119046,-,188,1787296,yceJ,b1057,-,-,putative cytochrome b561
987,1119307,1119447,-,46,1787297,yceO,b1058,-,-,uncharacterized protein
988,1119468,1120586,-,372,1787298,solA,b1059,-,-,"N-methyltryptophan oxidase, FAD-binding"
989,1120701,1120955,-,84,1787299,bssS,b1060,-,-,biofilm regulator
990,1121242,1121487,-,81,1787300,dinI,b1061,-,-,DNA damage-inducible protein I
991,1121561,1122607,-,348,1787301,pyrC,b1062,-,-,dihydro-orotase
992,1122713,1123273,-,186,1787302,yceB,b1063,-,-,"lipoprotein, DUF1439 family"
993,1123407,1124054,-,215,1787303,grxB,b1064,-,-,glutaredoxin 2 (Grx2)
994,1124118,1125326,-,402,87081828,mdtH,b1065,-,-,multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin
995,1125562,1126146,+,194,1787305,rimJ,b1066,-,-,ribosomal-protein-S5-alanine N-acetyltransferase
996,1126157,1126804,+,215,1787306,yceH,b1067,-,-,UPF0502 family protein
997,1126806,1127729,+,307,1787307,yceM,b1068,-,-,putative oxidoreductase
998,1127839,1129374,+,511,1787309,murJ,b1069,-,-,putative peptidoglycan lipid II flippase
999,1129414,1129830,-,138,1787310,flgN,b1070,-,-,export chaperone for FlgK and FlgL
1000,1129835,1130128,-,97,1787311,flgM,b1071,-,-,anti-sigma factor for FliA (sigma 28)
1001,1130204,1130863,-,219,1787312,flgA,b1072,-,-,assembly protein for flagellar basal-body periplasmic P ring
1002,1131018,1131434,+,138,1787313,flgB,b1073,-,-,flagellar component of cell-proximal portion of basal-body rod
1003,1131438,1131842,+,134,1787314,flgC,b1074,-,-,flagellar component of cell-proximal portion of basal-body rod
1004,1131854,1132549,+,231,1787315,flgD,b1075,-,-,flagellar hook assembly protein
1005,1132574,1133782,+,402,1787316,flgE,b1076,-,-,flagellar hook protein
1006,1133802,1134557,+,251,1787317,flgF,b1077,-,-,flagellar component of cell-proximal portion of basal-body rod
1007,1134729,1135511,+,260,1787318,flgG,b1078,-,-,flagellar component of cell-distal portion of basal-body rod
1008,1135564,1136262,+,232,1787319,flgH,b1079,-,-,flagellar protein of basal-body outer-membrane L ring
1009,1136274,1137371,+,365,1787320,flgI,b1080,-,-,putative flagellar basal body protein
1010,1137371,1138312,+,313,1787321,flgJ,b1081,-,-,flagellar rod assembly protein and murein hydrolase; flagellum-specific muramidase
1011,1138378,1140021,+,547,1787323,flgK,b1082,-,-,flagellar hook-filament junction protein 1
1012,1140033,1140986,+,317,1787324,flgL,b1083,-,-,flagellar hook-filament junction protein
1013,1141182,1144367,-,1061,1787325,rne,b1084,-,-,fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
1014,1144502,1144822,+,106,87081829,yceQ,b1085,-,-,uncharacterized protein
1015,1144940,1145899,+,319,1787327,rluC,b1086,-,-,"23S rRNA pseudouridine(955,2504,2580) synthase"
1016,1146011,1146595,-,194,87081830,yceF,b1087,-,-,Maf-like protein
1017,1146794,1147315,+,173,1787329,yceD,b1088,-,-,DUF177 family protein
1018,1147367,1147540,+,57,1787330,rpmF,b1089,-,-,50S ribosomal subunit protein L32
1019,1147621,1148691,+,356,87081831,plsX,b1090,-,-,putative phosphate acyltransferase
1020,1148759,1149712,+,317,1787333,fabH,b1091,-,-,3-oxoacyl-[acyl-carrier-protein] synthase III
1021,1149728,1150657,+,309,1787334,fabD,b1092,-,-,malonyl-CoA-[acyl-carrier-protein] transacylase
1022,1150670,1151404,+,244,1787335,fabG,b1093,-,-,3-oxoacyl-[acyl-carrier-protein] reductase
1023,1151615,1151851,+,78,1787336,acpP,b1094,-,-,acyl carrier protein (ACP)
1024,1151939,1153180,+,413,1787337,fabF,b1095,-,-,3-oxoacyl-[acyl-carrier-protein] synthase II
1025,1153300,1154109,+,269,1787338,pabC,b1096,-,-,4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex
1026,1154112,1155134,+,340,1787339,yceG,b1097,-,-,"septation protein, ampicillin sensitivity"
1027,1155124,1155765,+,213,1787340,tmk,b1098,-,-,thymidylate kinase
1028,1155762,1156766,+,334,1787341,holB,b1099,-,-,"DNA polymerase III, delta prime subunit"
1029,1156777,1157574,+,265,1787342,ycfH,b1100,-,-,putative DNase
1030,1157869,1159302,+,477,1787343,ptsG,b1101,-,-,fused glucose-specific PTS enzymes: IIB component/IIC component
1031,1159362,1161551,-,729,1787344,fhuE,b1102,-,-,ferric-rhodotorulic acid outer membrane transporter
1032,1161885,1162244,+,119,1787346,hinT,b1103,-,-,"purine nucleoside phosphoramidase, dadA activator protein"
1033,1162247,1162624,+,125,1787347,ycfL,b1104,-,-,uncharacterized protein
1034,1162638,1163279,+,213,1787348,lpoB,b1105,-,-,OM lipoprotein stimulator of MrcB transpeptidase
1035,1163260,1164084,+,274,1787349,thiK,b1106,-,-,thiamine kinase
1036,1164095,1165120,+,341,1787350,nagZ,b1107,-,-,beta N-acetyl-glucosaminidase
1037,1165143,1165685,+,180,87081832,ycfP,b1108,-,-,putative UPF0227 family esterase
1038,1166085,1167389,+,434,1787352,ndh,b1109,-,-,respiratory NADH dehydrogenase 2/cupric reductase
1039,1167599,1168138,+,179,1787353,ycfJ,b1110,-,-,uncharacterized protein
1040,1168200,1168832,-,210,87081833,ycfQ,b1111,-,-,repressor for bhsA(ycfR)
1041,1169073,1169330,+,85,1787355,bhsA,b1112,-,-,"biofilm, cell surface and signaling protein"
1042,1169412,1170374,-,320,1787356,ldtC,b1113,-,-,"L,D-transpeptidase linking Lpp to murein"
1043,1170518,1173964,-,1148,1787357,mfd,b1114,-,-,transcription-repair coupling factor
1044,1174092,1175165,-,357,1787359,ycfT,b1115,-,-,inner membrane protein
1045,1175427,1176626,+,399,1787360,lolC,b1116,-,-,lipoprotein-releasing system transmembrane protein
1046,1176619,1177320,+,233,87081834,lolD,b1117,-,-,outer membrane-specific lipoprotein transporter subunit
1047,1177320,1178564,+,414,1787362,lolE,b1118,-,-,lipoprotein-releasing system transmembrane protein
1048,1178593,1179504,+,303,1787363,nagK,b1119,-,-,N-acetyl-D-glucosamine kinase
1049,1179631,1180359,+,242,308199517,cobB,b1120,-,-,"deacetylase of acs and cheY, chemotaxis regulator"
1050,1180479,1181267,-,262,1787365,ycfZ,b1121,-,-,inner membrane protein
1051,1181264,1181725,-,153,87081835,ymfA,b1122,-,-,DUF3592 family inner membrane protein
1052,1181783,1182829,-,348,1787367,potD,b1123,-,-,polyamine transporter subunit
1053,1182826,1183620,-,264,1787368,potC,b1124,-,-,polyamine transporter subunit
1054,1183617,1184444,-,275,1787369,potB,b1125,-,-,polyamine transporter subunit
1055,1184458,1185594,-,378,1787370,potA,b1126,-,-,polyamine transporter subunit
1056,1185844,1187070,+,408,1787372,pepT,b1127,-,-,peptidase T
1057,1187119,1188240,-,373,87081836,roxA,b1128,-,-,50S ribosomal protein L16 arginine hydroxylase; 2-oxoglutarate oxygenase
1058,1188316,1189776,-,486,1787374,phoQ,b1129,-,-,sensory histidine kinase in two-component regulatory system with PhoP
1059,1189776,1190447,-,223,1787375,phoP,b1130,-,-,response regulator in two-component regulatory system with PhoQ
1060,1190616,1191986,-,456,1787376,purB,b1131,-,-,adenylosuccinate lyase
1061,1191990,1192631,-,213,1787377,hflD,b1132,-,-,putative lysogenization regulator
1062,1192667,1193773,-,368,87081837,mnmA,b1133,-,-,"tRNA(Gln,Lys,Glu) U34 2-thiouridylase, first step in mnm(5)-s(2)U34-tRNA synthesis"
1063,1193827,1194288,-,153,1787379,nudJ,b1134,-,-,bifunctional thiamine pyrimidine pyrophosphate hydrolase/ thiamine pyrophosphate hydrolase
1064,1194298,1194951,-,217,87081838,rluE,b1135,-,-,23S rRNA pseudouridine(2457) synthase
1065,1195123,1196373,+,416,1787381,icd,b1136,-,-,"e14 prophage; isocitrate dehydrogenase, specific for NADP+"
1066,1196867,1197532,-,221,1787383,ymfD,b1137,-,-,e14 prophage; putative SAM-dependent methyltransferase
1067,1197533,1198237,-,234,1787384,ymfE,b1138,-,-,e14 prophage; putative inner membrane protein
1068,1198695,1199588,+,297,1787385,lit,b1139,-,-,"e14 prophage; cell death peptidase, inhibitor of T4 late gene expression"
1069,1199679,1200806,-,375,1787386,intE,b1140,-,-,e14 prophage; putative integrase
1070,1200787,1201032,-,81,1787387,xisE,b1141,-,-,e14 prophage; putative excisionase
1071,1201497,1201838,+,113,87081839,ymfI,b1143,-,-,e14 prophage; uncharacterized protein
1072,1201776,1202084,-,102,87081840,ymfJ,b1144,-,-,e14 prophage; uncharacterized protein
1073,1202259,1202933,-,224,1787391,cohE,b1145,-,-,e14 prophage; repressor protein phage e14
1074,1203024,1203224,+,66,87081841,croE,b1146,-,-,e14 prophage; putative DNA-binding transcriptional regulator
1075,1203268,1203825,+,185,145693113,ymfL,b1147,-,-,e14 prophage; putative DNA-binding transcriptional regulator
1076,1203822,1204160,+,112,1787394,ymfM,b1148,-,-,e14 prophage; uncharacterized protein
1077,1205549,1205731,+,60,1787396,ymfR,b1150,-,-,e14 prophage; uncharacterized protein
1078,1206913,1207497,+,194,1787399,ymfQ,b1153,-,-,prohage e14 tail protein homolog
1079,1207501,1208130,+,209,1787400,stfP,b1154,-,-,e14 prophage; uncharacterized protein
1080,1208132,1208545,+,137,1787401,tfaP,b1155,-,-,e14 prophage; uncharacterized protein
1081,1208517,1209119,-,200,1787402,tfaE,b1156,-,-,e14 prophage; putative tail fiber assembly protein
1082,1209685,1210239,+,184,1787404,pinE,b1158,-,-,e14 prophage; site-specific DNA recombinase
1083,1210346,1211179,+,277,1787406,mcrA,b1159,-,-,putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein; e14 prophage gene
1084,1211680,1212003,-,107,1787407,iraM,b1160,-,-,"RpoS stabilzer during Mg starvation, anti-RssB factor"
1085,1212703,1213107,-,134,1787408,ycgX,b1161,-,-,DUF1398 family protein
1086,1213328,1214059,-,243,1787409,bluR,b1162,-,-,repressor of blue light-responsive genes
1087,1214264,1215475,-,403,1787410,bluF,b1163,-,-,"anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP"
1088,1215789,1216025,+,78,1787411,ycgZ,b1164,-,-,RcsB connector protein for regulation of biofilm and acid-resistance
1089,1216068,1216340,+,90,1787412,ymgA,b1165,-,-,RcsB connector protein for regulation of biofilm
1090,1216369,1216635,+,88,1787413,ariR,b1166,-,-,RcsB connector protein for regulation of biofilm and acid-resistance
1091,1216748,1216996,+,82,1787414,ymgC,b1167,-,-,"Blue light, low temperature and stress induced protein"
1092,1217328,1218851,+,507,87081845,ycgG,b1168,-,-,putative membrane-anchored cyclic-di-GMP phosphodiesterase
1093,1218983,1219201,+,72,87081846,ymgF,b4520,-,-,inner membrane division septum protein
1094,1222305,1222634,-,109,87081849,ymgD,b1171,-,-,uncharacterized protein
1095,1222644,1222988,-,114,288549313,ymgG,b1172,-,-,UPF0757 family protein
1096,1222990,1223163,-,57,145693115,ymgI,b4593,-,-,uncharacterized protein
1097,1223264,1223449,+,61,145693116,ymgJ,b4594,-,-,uncharacterized protein
1098,1224279,1224545,-,88,1787422,minE,b1174,-,-,cell division topological specificity factor
1099,1224549,1225361,-,270,1787423,minD,b1175,-,-,membrane ATPase of the MinC-MinD-MinE system
1100,1225385,1226080,-,231,1787424,minC,b1176,-,-,cell division inhibitor
1101,1226600,1226968,+,122,1787425,ycgJ,b1177,-,-,uncharacterized protein
